bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
1328,6466,485,5737,7172,10876,10740,2151
1334,11284,8061,6948,10569,6929,3423,6996
1335,4639,4994,11505,1806,5914,2153,6927
1336,9436,3690,8584,1450,11597,9468,3191
1337,11231,5137,8049,5002,782,9240,2551
1344,9240,6710,6243,10714,8049,5137,11231
1346,3191,2527,10715,11597,9448,8584,6334
1352,7887,9467,8549,9474,6693,7909,2377
1353,5358,7570,6992,4639,4994,1456,1306
1358,11596,4550,11294,6637,7369,405,7460
1360,7017,7598,9447,7935,2526,7167,9473
1363,404,1758,7329,1881,6900,5714,6589
1374,3186,7102,10282,6783,11564,3185,7725
1382,4239,5814,5922,6495,5349,5726,5947
1450,940,58,6962,9002,3337,6366,6498
1451,7540,5958,10033,11854,6347,3926,2299
1452,6965,12939,6347,10033,6967,11854,8993
1453,276,12097,2789,7996,7462,1472,3181
1454,3299,11588,9021,4608,3190,5156,8349
1456,1497,4403,4673,11073,6796,3980,7509
1457,940,3337,793,6962,58,6498,2881
1458,1471,7001,9885,12231,1070,12409,11928
1459,2316,3332,7232,2585,12662,2711,5436
1460,5798,3225,1484,2703,10016,5362,11319
1461,856,10621,4949,2710,10617,10615,5600
1465,5833,6047,9997,5466,1510,5816,8050
1468,10615,7803,2710,11674,4949,10621,6957
1470,6353,943,2584,6694,2439,2314,10623
1471,8337,7405,10794,6956,6802,12615,7407
1472,10059,11644,6966,3763,11411,12738,12798
1474,6807,7384,4577,11074,8339,4424,7556
1475,10617,4949,10621,9012,2297,12526,12662
1480,11668,4405,1508,5740,12041,8331,1552
1483,9748,4285,10495,7178,149,4574,4889
1484,154,7408,3489,962,7757,10794,9057
1487,7699,9020,6226,276,9886,12097,7996
1490,3148,1480,13014,4013,13015,7404,9235
1493,8112,7729,7190,6795,7027,2445,3339
1497,10631,62,957,11415,7773,3330,3462
1498,12360,3134,2448,1487,6355,7177,7757
1503,6226,7699,833,9886,276,7996,12097
1505,3299,4608,3190,11588,9000,3300,12798
1506,9237,8526,6982,6981,6960,2522,9058
1508,9012,2710,10621,4949,6957,5600,10615
1510,3720,6778,7181,10113,3342,153,12172
1511,2447,1465,3489,9751,154,832,9151
1515,10311,3927,3926,2522,4075,6981,7540
1551,408,7604,7964,11030,9937,7549,6699
1552,1775,4732,10618,6130,5988,2829,7541
1555,11390,7457,10566,12300,6465,1305,6784
1599,241,6894,5318,3360,6284,8757,7859
1600,7521,5566,8225,1877,7435,51,5599
1601,6897,6754,3715,8208,4807,6900,6589
1602,604,260,9547,8226,7103,7331,1879
1603,4669,6075,3326,8228,5294,8721,7112
1604,7112,12747,10578,6879,615,11318,8228
1605,6281,9732,9731,10082,6619,6895,550
1606,8721,5294,7033,7435,535,8228,6075
1607,8709,3325,1885,50,3836,49,11412
1608,8227,8224,7327,9735,2313,5361,4593
1609,49,599,8706,3325,2308,8709,9110
1610,7100,9341,8236,8512,11833,3109,3457
1611,550,4400,6895,8235,6619,11414,8208
1677,7916,7949,9736,7886,54,7874,7952
1681,2439,943,6694,825,6353,2584,10623
1682,7233,7003,7266,3229,57,8132,7187
1683,9481,5152,2378,7218,5932,8842,5769
1684,3338,7287,3339,68,63,12037,8112
1685,6780,10086,134,9136,6366,7190,7729
1686,9003,793,3337,6962,58,6498,2881
1687,2306,7198,66,10970,3336,4159,2301
1688,6694,2439,9120,825,6353,2584,3839
1689,67,7186,7266,6573,7003,63,5084
1690,5754,940,5942,10613,134,6780,6366
1691,3339,10093,8112,2445,9955,835,3338
1692,10620,6910,12048,8134,4283,61,5299
1693,62,7773,3330,10631,836,4812,3462
1694,6534,5519,5009,1511,11181,11562,6023
1695,2446,1472,10089,1510,5828,9208,9419
1720,6726,8334,7601,7276,7013,6791,1051
1730,4387,8336,6185,4367,3206,10783,5580
1739,7757,3134,1498,154,832,7408,3489
1740,9750,7508,1465,12615,8337,9058,1468
1741,6345,2319,10511,13005,7035,10561,8340
1743,9748,10095,3870,1944,3869,3868,6500
1745,7681,6698,4888,7556,11074,5010,6490
1747,12350,3488,6490,7179,7403,8135,8339
1749,9176,9751,7603,7802,8857,3341,8873
1750,9176,9751,7802,7603,2907,8857,8873
1752,12766,5011,12173,10787,12049,7511,7673
1756,159,7411,4290,8338,1294,9775,7351
1757,9783,7205,7518,4816,7225,7597,1960
1758,2717,6431,8375,11416,3348,7310,3136
1759,8925,7121,2450,7547,11713,8934,5310
1760,7452,7606,3522,9774,8907,7037,6367
1761,8822,2793,7524,9920,9913,8827,3000
1762,1025,6202,1019,11687,6810,6700,11680
1763,162,7402,10450,10810,7037,7392,6367
1764,3721,2453,8063,2722,6688,7409,13200
1765,7444,10308,7823,6203,1773,8376,2718
1766,6986,7246,10801,6816,7781,6202,11687
1767,9779,7515,1024,7606,3344,7452,1011
1768,6325,3349,9867,6192,7826,2454,7993
1769,1025,1013,6202,6810,11687,6700,11680
1770,2455,5759,7165,8927,10422,10811,1965
1771,7239,3138,2910,2451,6296,7042,7742
1772,7589,282,10801,5071,7246,6986,6816
1773,7134,9773,7623,7135,6603,6502,7274
1774,1018,9779,9596,8055,4815,7041,7819
1775,1013,6202,1020,11687,6810,6700,11680
1776,3722,12486,6442,13147,6205,5885,4821
1777,1972,1031,4695,1609,1601,1608,8388
1778,2723,8387,3877,3146,4585,5655,5616
1779,4009,11914,8058,10829,3350,7482,2457
1780,5141,4872,3683,11494,5663,6064,1605
1781,1028,1601,1972,1609,1608,4695,8388
1782,4820,5955,11932,12506,8385,6204,3524
1785,5722,6125,3525,5624,4182,6065,11918
1790,6845,1983,3565,3526,6734,3355,2002
1791,1043,1044,3240,11129,1041,8414,3737
1792,1986,10953,4530,1677,3251,6976,10836
1793,11152,1611,235,1048,3882,2644,10889
1794,2037,9865,9833,2476,3881,6734,6976
1795,9852,5255,3739,4183,6841,6215,2643
1796,8409,11543,2034,11743,11544,240,6374
1797,8414,11739,1043,1044,6256,1036,3240
1798,223,9862,6843,2351,9834,10836,1610
1799,1036,1044,3240,1042,8414,6256,11739
1800,3240,1036,1044,8414,11739,1042,11129
1801,239,1990,230,229,5379,4296,1047
1802,6443,228,12640,7256,2471,7413,2348
1803,5379,2033,229,1046,230,239,1990
1804,3150,2644,11718,10889,1038,11117,2732
1805,11130,1050,232,225,7484,2038,2469
1806,11130,1050,232,11129,2035,1036,2038
1807,7276,7601,961,6185,8334,6726,1552
1808,3151,10678,6971,3354,2735,11714,6733
1877,10253,12205,6471,6259,5507,2039,2356
1878,10252,3155,2535,7820,9546,3884,3888
1879,5391,1685,5935,7572,1057,4015,4913
1880,7618,8090,6472,254,5069,513,6287
1881,5749,7572,11770,1779,5391,1685,1056
1882,4016,1335,3741,12721,5957,5507,7106
1883,608,6375,1336,6260,261,6219,1061
1884,252,2970,611,5906,4594,9484,4592
1885,6258,4453,1336,246,6375,12482,4593
1944,8879,10257,5177,11774,4597,5186,275
1945,5574,7807,1692,7164,6123,1691,7499
1946,11942,7595,6868,11369,9561,2362,273
1947,9980,4198,8015,3367,12651,4698,4324
1948,4198,9980,3367,12651,8015,1363,9598
1949,10254,10426,6848,12209,10266,7530,10463
1960,12231,8477,7001,12409,1470,4326,6871
1965,7721,12410,278,9984,10017,12238,1503
1970,10017,7721,11468,10685,1503,12410,8795
1972,6959,7461,6224,2830,10314,9482,2523
1979,9895,6359,6147,9488,6116,6541,1515
1983,7474,4235,3298,3293,8770,10547,9897
1985,8482,6581,6968,11570,5095,6548,4719
1986,8345,8651,9905,279,9909,7192,7839
1988,8345,9905,8651,7192,279,7839,9909
1990,281,7115,10687,2999,6521,9915,2792
1992,10301,8822,7524,1012,6872,6688,7206
1998,9913,9920,3751,7528,1720,10870,4730
2002,8065,6376,10869,10870,1720,7445,7528
2032,2827,1780,12737,5590,10310,4975,1772
2033,7100,8512,2682,9113,3109,8236,6476
2034,7275,7669,10871,9928,10691,2685,9522
2035,6330,4078,11250,4579,410,2452,13062
2036,7441,8236,5216,3457,6037,10304,9113
2037,1334,11201,3754,1750,8053,8054,7512
2038,10694,6266,1353,8052,1775,4511,9932
2039,11210,8111,2828,4731,4853,8497,3603
2040,4731,11210,289,7862,7015,2828,6493
2139,10000,10088,7615,1510,3928,7758,4973
2140,7467,10873,4327,4808,8529,5363,5094
2144,11411,827,3300,12798,3190,4608,10034
2145,3690,9606,781,8584,1450,399,11597
2147,9447,7598,3767,789,7167,7017,6693
2148,7598,3767,7167,789,7017,9447,2526
2149,6334,784,2527,11028,3191,1457,10715
2150,405,7460,7756,6637,11294,4076,8796
2151,7887,8549,785,9474,6693,5136,12120
2152,403,1743,3301,6414,6585,8013,402
2153,6751,9475,7366,1800,7740,397,9469
2154,7374,7935,2526,7017,6586,12948,12120
2155,6693,8549,12120,5136,9468,7887,785
2156,9473,6751,7366,7740,1800,397,6792
2185,5999,6321,11037,6025,11044,7584,5212
2186,9122,7218,2378,5152,5769,8842,12960
2187,9937,8609,8103,10874,4504,6295,11382
2188,7494,7778,7151,11605,2532,11453,10875
2189,6244,11382,1749,8104,4923,4429,5834
2203,6362,7677,7307,280,3182,7660,7948
2221,8338,7767,7411,8451,1007,159,3868
2289,2149,4506,5453,5849,11383,13163,11384
2290,11045,8653,8652,6654,11051,6652,1752
2297,11383,11384,5849,2149,3419,1296,1300
2299,6054,3090,3421,10878,2543,5591,5075
2301,1752,6652,6655,6889,6654,8652,12125
2304,5712,5140,4873,4993,3419,1298,11384
2305,7555,11498,6988,5914,11505,5547,2152
2306,6933,4925,6255,11992,1311,3200,1360
2308,1804,4797,1454,1304,7857,7861,5358
2309,7857,5914,1759,10567,480,11505,7555
2310,11390,1758,6784,10566,7457,2873,9074
2311,7624,7570,4994,1805,6992,3792,9943
2312,7614,2872,6890,7672,2536,7229,7168
2313,3422,2871,483,1310,6335,4271,3692
2314,3199,5142,2153,482,2155,5464,6996
2315,2871,3422,4271,1806,1762,1309,12297
2316,11992,6255,1303,6933,4925,1360,3199
2317,8066,2150,7169,7861,10876,485,8067
2319,5738,5357,4795,5355,1453,6773,12288
2320,11419,10525,13091,10877,3232,1965,9233
2346,2697,3101,7097,3208,486,4877,3452
2347,8675,7299,7602,6725,9492,6499,7745
2348,1321,8697,7320,12741,4999,4927,5002
2349,6611,2699,3102,6684,10570,7261,9483
2351,2700,7319,12841,6124,4697,11609,3102
2354,12016,2187,3209,4277,12018,488,10887
2355,1318,8697,12741,7320,4999,4927,5002
2356,8480,11946,2366,8207,2546,8483,7399
2357,7752,1881,2311,2312,12742,7224,9735
2358,1879,535,7033,7619,10068,7113,8225
2359,10407,5700,9514,4450,251,8937,7491
2360,10680,6423,7859,10681,5924,7827,255
2361,12720,5571,5637,6712,6713,7522,3745
2362,11866,10712,7332,10679,12678,7314,5119
2363,7908,4450,9513,5700,5843,7264,2354
2364,9523,8720,415,4553,5516,13036,7487
2365,8816,2685,12931,3184,8723,9928,2374
2366,9522,8720,4553,5516,415,7487,6512
2367,7114,253,255,6509,10681,258,5723
2368,9391,7512,3754,11201,1750,8053,3298
2369,1059,5957,5507,7106,2038,7749,4016
2370,6375,1060,608,6260,1062,261,4593
2371,6509,7059,253,4194,7440,1334,255
2372,4922,1769,2853,609,3789,11381,8764
2373,6134,6092,5971,5636,7705,6260,1060
2374,1785,6794,6572,6893,10390,4881,8765
2375,7326,1681,5393,10682,6272,8428,10954
2376,1782,3835,5653,4281,3329,7018,11414
2377,6584,10694,9405,8052,7862,6266,3297
2378,256,9238,8740,5256,4195,6000,12778
2379,246,1881,4453,12482,4593,2312,1324
2380,2535,10251,3155,3888,9971,1055,3744
2381,260,4880,9100,5752,604,13036,7643
2382,6579,5139,6762,3745,7522,8724,2534
2388,5417,8827,8830,5433,6390,4730,9913
2439,4876,11497,4925,1453,6773,4795,5355
2445,9598,2786,4198,9977,1069,274,5169
2446,11369,7595,6868,1065,11942,7582,7766
2447,7044,7901,3892,267,7482,5501,3361
2448,5734,6464,3682,7420,7584,1797,412
2449,7671,7446,3977,7149,4884,10427,59
2450,7309,7392,7313,9592,2912,10514,4176
2451,9740,4812,9975,3330,8935,958,7773
2452,7577,8379,6596,7824,11331,11688,3343
2453,7306,8040,4518,5098,4521,10610,7311
2454,2912,7309,7500,9581,7354,7313,9780
2455,269,3893,5938,5438,9601,7809,9599
2456,7454,1791,6909,6220,7389,7078,265
2457,5352,5153,9979,8612,7449,10717,6603
2458,7819,7041,8055,1025,161,4289,1018
2459,7311,2448,4694,5771,3139,6291,4521
2460,2786,9561,9977,5169,274,5510,7152
2461,3893,5438,5938,269,9594,9600,7809
2462,1798,6979,7768,7592,12660,5416,6691
2463,7809,6487,269,10860,12659,6979,5908
2466,399,9437,3690,1450,5290,7611,8584
2468,3690,8584,5290,1450,9437,399,11597
2469,1803,2536,6890,5563,5355,6773,1308
2471,6927,11025,2152,5547,7519,6245,6988
2475,4795,6773,11497,5355,1314,1363,5738
2476,6055,7861,5358,485,5737,10876,786
2479,3951,4270,12121,8583,4240,5923,7611
2485,12951,11028,6334,7171,8229,6924,9466
2487,4551,6243,5578,6710,2551,2547,8049
2518,11928,11174,2363,10685,6697,1080,2830
2519,4602,4325,9886,7615,4973,6697,3928
2520,10097,7539,5307,7375,5520,10098,2320
